danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.603,0.473,5,-7.23,1,0.0511,0.616,0.0,0.31,0.446,109.494,audio_features,5S9Zs5g9lTWnLIboN1pdlU,spotify:track:5S9Zs5g9lTWnLIboN1pdlU,https://api.spotify.com/v1/tracks/5S9Zs5g9lTWnLIboN1pdlU,https://api.spotify.com/v1/audio-analysis/5S9Zs5g9lTWnLIboN1pdlU,175345,4
0.55,0.448,11,-7.382,1,0.0314,0.879,0.0,0.0734,0.49,99.713,audio_features,4SeZpWSgq1c8a0MY3iVy1f,spotify:track:4SeZpWSgq1c8a0MY3iVy1f,https://api.spotify.com/v1/tracks/4SeZpWSgq1c8a0MY3iVy1f,https://api.spotify.com/v1/audio-analysis/4SeZpWSgq1c8a0MY3iVy1f,183000,4
0.648,0.727,0,-3.791,1,0.142,0.229,0.0,0.17,0.689,160.024,audio_features,6ZahaGPhyiXTi1pLEtGM6e,spotify:track:6ZahaGPhyiXTi1pLEtGM6e,https://api.spotify.com/v1/tracks/6ZahaGPhyiXTi1pLEtGM6e,https://api.spotify.com/v1/audio-analysis/6ZahaGPhyiXTi1pLEtGM6e,175067,4
0.576,0.679,0,-7.237,1,0.034,0.0311,0.0,0.323,0.213,121.005,audio_features,6aDsgHPZsMztSbZernzlF8,spotify:track:6aDsgHPZsMztSbZernzlF8,https://api.spotify.com/v1/tracks/6aDsgHPZsMztSbZernzlF8,https://api.spotify.com/v1/audio-analysis/6aDsgHPZsMztSbZernzlF8,187889,4
0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,4LRPiXqCikLlN15c3yImP7,spotify:track:4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/tracks/4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/audio-analysis/4LRPiXqCikLlN15c3yImP7,167303,4
0.603,0.691,5,-5.805,1,0.0372,0.0248,0.0,0.583,0.577,147.148,audio_features,0U1W2LZVUX7qTm7dDpqxh6,spotify:track:0U1W2LZVUX7qTm7dDpqxh6,https://api.spotify.com/v1/tracks/0U1W2LZVUX7qTm7dDpqxh6,https://api.spotify.com/v1/audio-analysis/0U1W2LZVUX7qTm7dDpqxh6,172267,4
0.56,0.41,8,-9.227,0,0.0276,0.544,0.0,0.151,0.28,144.727,audio_features,39ZVkOVxjG8ypNdUSVNkxU,spotify:track:39ZVkOVxjG8ypNdUSVNkxU,https://api.spotify.com/v1/tracks/39ZVkOVxjG8ypNdUSVNkxU,https://api.spotify.com/v1/audio-analysis/39ZVkOVxjG8ypNdUSVNkxU,187293,4
0.641,0.28,10,-8.737,1,0.0312,0.815,0.0,0.0866,0.497,120.005,audio_features,4Z5LVvODOf8KDgxa0DCwG1,spotify:track:4Z5LVvODOf8KDgxa0DCwG1,https://api.spotify.com/v1/tracks/4Z5LVvODOf8KDgxa0DCwG1,https://api.spotify.com/v1/audio-analysis/4Z5LVvODOf8KDgxa0DCwG1,186500,4
0.554,0.485,0,-8.691,1,0.036,0.266,0.0,0.12,0.0952,126.02,audio_features,5e73JXit90gFD8EU1jqC6n,spotify:track:5e73JXit90gFD8EU1jqC6n,https://api.spotify.com/v1/tracks/5e73JXit90gFD8EU1jqC6n,https://api.spotify.com/v1/audio-analysis/5e73JXit90gFD8EU1jqC6n,239865,4
0.345,0.612,7,-6.543,0,0.0608,0.232,0.0,0.194,0.232,179.773,audio_features,59CfNbkERJ3NoTXDvoURjj,spotify:track:59CfNbkERJ3NoTXDvoURjj,https://api.spotify.com/v1/tracks/59CfNbkERJ3NoTXDvoURjj,https://api.spotify.com/v1/audio-analysis/59CfNbkERJ3NoTXDvoURjj,153000,3
0.483,0.424,6,-9.909,1,0.0671,0.593,0.0,0.311,0.189,81.232,audio_features,7M2UiRCmybJ5fuT7Wc2iDR,spotify:track:7M2UiRCmybJ5fuT7Wc2iDR,https://api.spotify.com/v1/tracks/7M2UiRCmybJ5fuT7Wc2iDR,https://api.spotify.com/v1/audio-analysis/7M2UiRCmybJ5fuT7Wc2iDR,152962,4
0.431,0.305,2,-9.761,1,0.0628,0.895,1.66e-06,0.0981,0.206,174.365,audio_features,1DsVpqnIPZCV1YKdMragRL,spotify:track:1DsVpqnIPZCV1YKdMragRL,https://api.spotify.com/v1/tracks/1DsVpqnIPZCV1YKdMragRL,https://api.spotify.com/v1/audio-analysis/1DsVpqnIPZCV1YKdMragRL,235067,3
0.686,0.571,4,-7.138,1,0.05,0.066,0.0,0.0608,0.538,117.889,audio_features,4e5ayHsOLJNLTGfjau2mEw,spotify:track:4e5ayHsOLJNLTGfjau2mEw,https://api.spotify.com/v1/tracks/4e5ayHsOLJNLTGfjau2mEw,https://api.spotify.com/v1/audio-analysis/4e5ayHsOLJNLTGfjau2mEw,240467,4
0.5,0.156,1,-11.472,1,0.0469,0.87,0.0,0.125,0.405,173.794,audio_features,136J2Jkg8sG7P5wilO9P1R,spotify:track:136J2Jkg8sG7P5wilO9P1R,https://api.spotify.com/v1/tracks/136J2Jkg8sG7P5wilO9P1R,https://api.spotify.com/v1/audio-analysis/136J2Jkg8sG7P5wilO9P1R,163227,4
0.801,0.339,0,-9.684,0,0.281,0.229,0.0,0.177,0.642,165.977,audio_features,5sHecmVKk5pCXO1JApAkt7,spotify:track:5sHecmVKk5pCXO1JApAkt7,https://api.spotify.com/v1/tracks/5sHecmVKk5pCXO1JApAkt7,https://api.spotify.com/v1/audio-analysis/5sHecmVKk5pCXO1JApAkt7,201480,4
